mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,United Kingdom,United Kingdom,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,rock; alternative; britpop; alternative rock; indie; british; seen live; Coldplay; pop; indie rock; pop rock; piano rock; UK; soft rock; Mellow; male vocalists; chillout; piano; 00s; chill; favorites; indie pop; acoustic; singer-songwriter; emo; english; Love; classic rock; electronic; brit rock; brit pop; overrated; 90s; Pop-Rock; cold play; Favourites; Britrock; relax,5381567,360111850,FALSE
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,Radiohead,United Kingdom,United Kingdom,rock; electronic; alternative rock; british; grunge; uk; britannique; britpop; art rock; experimental rock; english; chamber pop; parlophone; england; melancholic; oxford; bootleg; rock and indie; câ€™Ã©tait mieux avant; art pop; nude; sacred cows,alternative; alternative rock; rock; indie; electronic; seen live; british; britpop; indie rock; experimental; radiohead; Progressive rock; 90s; art rock; electronica; Experimental Rock; post-rock; UK; psychedelic; pop; ambient; favorites; overrated; melancholic; Progressive; 00s; male vocalists; Awesome; english; chillout; beautiful; genius; indie pop; trip-hop; melancholy; classic rock; emo; idm; better than radiohead,4732528,499548797,FALSE
8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,Red Hot Chili Peppers,United States,United States,rock; alternative rock; 80s; 90s; rap; metal; american; crossover; usa; funk; funk rock; alternative; pop rock; funk metal; rap rock; 00s; dvd; pop and chart; 10s; funk rock tributo,rock; alternative rock; alternative; Funk Rock; funk; seen live; Red Hot Chili Peppers; punk; american; indie; 90s; California; rhcp; crossover; classic rock; hard rock; pop; 80s; funk metal; punk rock; metal; indie rock; USA; 00s; pop rock; funky; Grunge; male vocalists; favorites,4620835,293784041,FALSE
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,Rihanna,United States,Barbados; United States,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,pop; rnb; female vocalists; dance; Hip-Hop; Rihanna; r&b; seen live; reggae; hip hop; sexy; female; female vocalist; american; dancehall; barbados; soul; barbadian; electronic; 00s; dance-pop; club; urban; r'n'b; guilty pleasure; electropop; hot; party; rhythm and blues; dance pop; Love; diva; beautiful; rock; USA; pop rock; mainstream; r and b; Guilty Pleasures; hiphop; legend; bitch; rap; House; alternative; amazing; english; Britney Spears; umbrella,4558193,199248986,FALSE
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Eminem,United States,United States,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,rap; Hip-Hop; Eminem; hip hop; pop; american; detroit; seen live; hiphop; Gangsta Rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; USA; singer-songwriter; Shady; d12; emo; Horrorcore; Aftermath; dance; Michigan; white rap,4517997,199507511,FALSE
95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,The Killers,United States,,synthpop; alternative rock; american; new wave; usa; indie rock; alternative; amÃ©ricain; post-punk revival; pop rock; heartland rock; rock and indie; united states,indie; rock; indie rock; alternative; alternative rock,4428868,208722092,FALSE
164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Kanye West,United States,United States,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,Hip-Hop; rap; hip hop; rnb; Kanye West; seen live; Gay Fish; american; pop; chicago; hiphop; soul; electronic; gayfish; producer; alternative; male vocalists; 00s; kanye; indie; rock; urban; experimental; dance; r&b; pop rap; alternative rap; electronica; alternative hip-hop; USA; good music; midwest rap,4390502,238603850,FALSE
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,Nirvana,United States,United States,rock; alternative rock; 90s; punk; american; experimental; seattle; grunge; band; usa; alternative; amÃ©ricain; legendary; acoustic rock; noise rock; 90; northwest; rock and indie; united states; nirvana; kurt cobain,Grunge; rock; alternative; alternative rock; 90s; punk; Nirvana; indie; american; seattle; hard rock; punk rock; metal; classic rock; Kurt Cobain; Grunge Rock; indie rock; USA; male vocalists; favorites,4272894,222303859,FALSE
9c9f1380-2516-4fc9-a3e6-f9f61941d090,Muse,Muse,United Kingdom,United Kingdom,rock; electronic; synthpop; alternative rock; progressive rock; metal; british; uk; britannique; funk rock; producer; pop rock; symphonic rock; new prog; english; producteur; rock and indie; alternative-rock; male; best,alternative rock; rock; alternative; Progressive rock; seen live; indie; british; indie rock; britpop; Muse; Progressive; electronic; space rock; UK; experimental; male vocalists; new prog; 00s; pop; Awesome; hard rock; favorites; english; Britrock; brit rock; 90s; emo; Symphonic Rock; Favourites; metal; epic; art rock; want to see live; piano,4089612,344838631,FALSE
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,Queen,United Kingdom,United Kingdom,rock; progressive rock; 70s; 80s; 90s; pop-rock; british; uk; band; hard rock; britannique; disco; glam rock; queen family; art rock; pop rock; english; united kingdom; queen; film soundtrack; classic pop and rock; platinum; pop/rock; 80's; 90's; 70's; langham 1 studio bbc; kind of magic; sa-town anthem,classic rock; rock; 80s; hard rock; glam rock; british; Queen; 70s; pop; Progressive rock; alternative; male vocalists; pop rock; freddie mercury; classic; UK; legend; art rock; seen live; metal; heavy metal; glam; oldies; favorites; english; arena rock; rock opera; 90s; alternative rock; Awesome,4023379,191711573,FALSE
67f66c07-6e61-4026-ade5-7e782fad3a5d,Foo Fighters,Foo Fighters,United States,United States,rock; alternative rock; american; grunge; hard rock; alternative; post-grunge; acoustic rock; pop rock; us; rock and indie; everlong,rock; alternative rock; Grunge; alternative; seen live; hard rock; post-grunge; foo fighters; indie; american; punk; 90s; indie rock; Dave Grohl; metal; Post Grunge; punk rock; USA; favorites; male vocalists; pop; 00s; classic rock; emo; seattle,4005236,194253620,FALSE
f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,Linkin Park,United States,United States,rock; alternative rock; industrial rock; metal; american; hip hop; usa; nu metal; new metal; amÃ©ricain; alternative metal; pop rock; rapcore; rap metal; rap rock; alt rock; nu-metal; rock and indie; united states; roxette; the greatest,rock; Nu Metal; alternative rock; alternative; metal; seen live; rapcore; Linkin Park; Nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; Hip-Hop; pop rock; USA; punk rock; lp; 00s; new metal; favorites; NOT METAL; indie; linkin; shit; California; electronic rock; Rap-Rock,3978390,294986508,FALSE
650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,Lady Gaga,United States,United States,electronic; synthpop; pop; american; usa; electropop; amÃ©ricain; dance-pop; pop rock; united states; the fame; gata rahe mera dil; edge of glory,pop; dance; electronic; female vocalists; female vocalist; Lady Gaga; electropop; seen live; american; gaga; singer-songwriter; sexy; diva; glam; 00s; dance-pop; electronica; synthpop; legend; dance pop; electro; guilty pleasure; rock; Disco; female; party; poker face; hot; USA; mother monster; new york; club; gay; queen of pop; Queen; amazing; <3; bitch; Love; LADY; techno; alternative; rnb; monster; catchy; icon,3820581,285469647,FALSE
